bldg_name,bldg_type,bldg_owner,zone_id,plot_id,num_smart_meters,pv_size_kw,pv_subsidy,pv_already_installed_size_kW,can_install_pv,minergie,x_coord,y_coord,x_coord_norm,y_coord_norm
B302034439,MULTI_RES,Landlord,Z1023,P_346,5,44,16560,0,1,1,681437,246530,1134,844
B302034443,MULTI_RES,Landlord,Z1560,P_985,21,51,18940,0,1,0,681980,247070,1677,1384
B302034521,MULTI_RES,Landlord,Z1468,P_155,10,52,19280,0,1,0,682181,246042,1878,356
B302034596,PARKING,Landlord,Z1363,P_221,1,5,3900,0,1,0,681994,246506,1691,820
B302034608,MULTI_RES,Firm,Z0357,P_802,14,196,60200,0,1,0,680332,247524,29,1838
B302034609,MULTI_RES,Firm,Z0357,P_802,2,22,11720,0,1,0,680318,247511,15,1825
B302034610,MULTI_RES,Firm,Z0357,P_802,1,21,11260,0,1,0,680324,247502,21,1816
B302034611,MULTI_RES,Firm,Z0357,P_802,3,22,11720,0,1,0,680329,247494,26,1808
B302034641,PARKING,Firm,Z1865,P_277,1,6,4360,0,1,0,680775,246611,472,925
B302034642,PARKING,Firm,Z1864,P_277,1,7,4820,0,1,0,680739,246668,436,982
B302034676,PARKING,Firm,Z0307,P_903,1,5,3900,0,1,0,681349,247371,1046,1685
B302034770,SINGLE_RES,Homeowner,Z1367,P_330,1,22,11720,0,1,0,682329,246745,2026,1059
B302034776,MULTI_RES,Landlord,Z0667,P_12,14,97,34580,0,1,1,681335,245786,1032,100
B302040617,RESTAURANT,Institution,Z1725,P_683,1,18,9880,0,0,0,682460,247057,2157,1371
B302040760,LIBRARY,Firm,Z0127,P_683,1,83,29820,0,1,0,682430,247013,2127,1327
B302046662,PARKING,Landlord,Z1955,P_23,1,16,8960,0,1,0,682271,245808,1968,122
B302046673,GYM,Institution,Z1285,P_252,1,24,12640,0,1,0,682079,246179,1776,493
B302046688,PARKING,Landlord,Z1296,P_386,1,3,2980,0,1,0,682157,246333,1854,647
B302046692,RESTAURANT,Institution,Z1571,P_242,1,8,5280,0,1,0,681990,246101,1687,415
B302046693,HOTEL,Institution,Z1571,P_242,1,27,14020,0,1,0,681990,246117,1687,431
B302046698,PARKING,Institution,Z1383,P_696,1,12,7120,0,1,0,682378,247025,2075,1339
B302046724,PARKING,Landlord,Z1938,P_154,1,3,2980,0,1,0,682096,246057,1793,371
B302046730,INDUSTRIAL,Landlord,Z1295,P_224,1,18,9880,0,1,0,682279,246276,1976,590
B302046740,PARKING,Landlord,Z0596,P_176,1,8,5280,0,1,0,682282,245981,1979,295
B302046770,LIBRARY,Firm,Z1458,P_241,1,93,33220,0,1,0,682442,246184,2139,498
B302046778,LIBRARY,Institution,Z1474,P_195,1,99,35260,0,1,0,682464,245984,2161,298
B302046800,LIBRARY,Institution,Z1247,P_195,1,33,12820,0,1,0,682414,245970,2111,284
B302046810,PARKING,Institution,Z1572,P_242,1,85,30500,0,1,0,681957,246150,1654,464
B302046821,PARKING,Firm,Z1953,P_223,1,7,4820,0,1,0,682159,246121,1856,435
B302046824,PARKING,Firm,Z1487,P_224,1,18,9880,0,1,0,682227,246096,1924,410
B302046848,PARKING,Landlord,Z1837,P_221,1,5,3900,0,1,0,682085,246478,1782,792
B302046851,SINGLE_RES,Firm,Z1258,P_330,1,23,12180,0,1,0,682368,246738,2065,1052
B302046860,RETAIL,Landlord,Z1471,P_155,1,14,8040,0,1,0,682173,246020,1870,334
B302046877,RETAIL,Firm,Z0200,P_350,1,275,83900,0,1,0,682106,246531,1803,845
B302046880,RETAIL,Firm,Z0124,P_286,1,210,64400,0,1,0,682254,246440,1951,754
B302046884,INDUSTRIAL,Landlord,Z1279,P_241,1,13,7580,0,1,0,682423,246221,2120,535
B302046886,SCHOOL,Institution,Z0591,P_333,1,33,12820,0,1,0,682396,246574,2093,888
B302046887,PARKING,Institution,Z1842,P_333,1,3,2980,0,1,0,682264,246661,1961,975
B302046890,GYM,Institution,Z0140,P_333,1,430,130400,0,1,0,682296,246633,1993,947
B302046892,SCHOOL,Institution,Z0140,P_333,1,207,63500,0,1,0,682285,246554,1982,868
B302046899,MULTI_RES,Landlord,Z1465,P_156,1,17,9420,0,1,0,682184,245958,1881,272
B302046927,INDUSTRIAL,Institution,Z1246,P_195,1,25,13100,0,1,0,682400,246025,2097,339
B302046937,PARKING,Institution,Z1372,P_334,1,14,8040,0,1,0,682400,246835,2097,1149
B302046964,LIBRARY,Firm,Z0068,P_241,1,155,47900,0,1,0,682419,246318,2116,632
B302046983,INDUSTRIAL,Firm,Z0566,P_41,1,11,6660,0,1,0,682052,245768,1749,82
B302046986,PARKING,Landlord,Z1315,P_23,1,6,4360,0,1,0,682267,245839,1964,153
B302047028,SCHOOL,Institution,Z0142,P_334,1,93,33220,0,1,0,682439,246703,2136,1017
B302047029,MULTI_RES,Landlord,Z0153,P_27,2,18,9880,0,1,0,682281,245895,1978,209
B302047044,PARKING,Landlord,Z0596,P_176,1,3,2980,0,1,0,682280,245987,1977,301
B302047045,PARKING,Firm,Z0566,P_41,1,12,7120,0,1,0,682041,245801,1738,115
B302047077,PARKING,Landlord,Z1958,P_23,1,4,3440,0,1,0,682266,245776,1963,90
B302047082,PARKING,Firm,Z1961,P_24,1,7,4820,0,1,0,682194,245740,1891,54
B302047089,GYM,Institution,Z1467,P_195,1,68,24720,0,1,0,682486,246060,2183,374
B302047097,PARKING,Landlord,Z1298,P_386,1,4,3440,0,1,0,682139,246346,1836,660
B302047099,INDUSTRIAL,Firm,Z1277,P_224,1,14,8040,0,1,0,682296,246360,1993,674
B302047100,PARKING,Landlord,Z1954,P_224,1,4,3440,0,1,0,682250,246096,1947,410
B302047118,PARKING,Landlord,Z1254,P_259,1,39,14860,0,1,0,682134,246288,1831,602
B302047126,PARKING,Landlord,Z1952,P_241,1,2,2520,0,1,0,682434,246126,2131,440
B302047142,PARKING,Institution,Z1847,P_334,1,7,4820,0,1,0,682394,246843,2091,1157
B302047178,GYM,Institution,Z1368,P_334,1,148,45800,0,1,0,682454,246876,2151,1190
B302047231,PARKING,Firm,Z1293,P_241,1,7,4820,0,1,0,682450,246369,2147,683
B302047238,INDUSTRIAL,Institution,Z1935,P_334,1,3,2980,0,1,0,682474,246815,2171,1129
B302047253,INDUSTRIAL,Landlord,Z1943,P_41,1,1,2060,0,1,0,682030,245930,1727,244
B302047267,PARKING,Firm,Z1942,P_41,1,2,2520,0,1,0,682027,245940,1724,254
B302047275,PARKING,Firm,Z1846,P_330,1,1,2060,0,1,0,682337,246718,2034,1032
B302047278,RETAIL,Landlord,Z1656,P_670,1,1,2060,0,0,0,681248,247145,945,1459
B302047282,PARKING,Firm,Z1762,P_657,1,3,2980,0,1,0,681180,247040,877,1354
B302047285,MULTI_RES,Landlord,Z1015,P_997,1,39,14860,0,1,0,681474,247100,1171,1414
B302047287,PARKING,Landlord,Z1654,P_997,1,2,2520,0,1,0,681457,247102,1154,1416
B302047293,RETAIL,Firm,Z1566,P_214,1,136,42200,0,1,0,681215,246152,912,466
B302047298,PARKING,Firm,Z0457,P_169,1,97,34580,0,1,0,681594,245985,1291,299
B302047300,PARKING,Firm,Z0439,P_174,1,277,84500,0,1,0,681609,246162,1306,476
B302047301,PARKING,Firm,Z0439,P_174,1,289,88100,0,1,0,681581,246143,1278,457
B302047318,PARKING,Landlord,Z1585,P_585,1,1,2060,0,1,0,681405,247642,1102,1956
B302047327,RETAIL,Firm,Z0103,P_214,1,62,22680,0,1,0,680974,246069,671,383
B302047328,PARKING,Firm,Z0103,P_214,1,320,97400,0,1,0,680911,246111,608,425
B302047334,GYM,Institution,Z1917,P_21,1,18,9880,0,1,0,681183,245874,880,188
