2015,2016,2017,2018,2019
0.883237284,-0.270333227,-6.307392805,18.8995017,-9.994248495
-2.673110023,-3.064992829,-3.413332819,27.43788104,-12.67722337
-3.763383026,-7.769076246,-3.339227535,46.08448162,-21.30229199
-2.250317828,-7.446252158,-1.528595788,41.30796258,-21.03261145
-2.473519946,-7.527337437,-3.136834322,43.60164841,-21.09471998
-2.133312347,-7.139840924,-3.690826101,44.47017561,-22.06445691
-1.83116722,-7.016644561,-2.900630187,42.65709334,-21.77633904
-1.823388653,-4.974794826,-4.679273304,40.83710828,-20.98377406
-1.129494347,-6.630265466,-4.305808207,40.39285246,-19.85197618
-0.418487422,-9.306122316,-3.920336825,41.77639837,-19.08033297
-0.371067021,-10.4499215,-3.620494174,42.15880994,-18.44246813
-0.055144725,-10.67702425,-2.7396732,39.83451382,-17.45629014
-0.036008538,-7.833454811,-4.392393039,35.67586106,-15.80859785
0.072993071,-3.442810886,-3.009704296,25.56849567,-13.95002309
1.897394024,-5.928718039,-2.294691405,25.04415755,-13.30550985
3.467231636,-5.436949876,-2.786607888,23.72221647,-13.96103825
3.627577787,-5.309695515,-2.92651529,21.87116087,-12.66431371
1.058176304,-0.296528469,-3.509908754,17.8838461,-11.85380453
0.096005335,-0.029618544,-6.867064562,25.42415719,-14.14945637
-4.03934428,-0.890245109,-9.606524852,29.70432113,-9.905005444
-5.128231092,1.15781755,-11.1763019,27.99756446,-8.272952238
-5.01021852,1.593877835,-10.44344105,26.78709046,-8.56973738
-6.4840517,1.070926978,-6.807501135,25.07946925,-8.393977916
-5.092126557,2.661420968,-4.252317488,17.18447584,-7.582463734
-6.163421964,0.293681334,-0.714558231,17.55453373,-7.353018283
-0.394359792,-8.978566773,5.048785386,13.60446971,-5.084828683
2.831799269,-9.827688758,10.05002469,12.26832402,-10.89462266
3.668158216,-10.13838719,9.029152385,13.85189215,-11.75289439
5.154826814,-11.16659359,7.894671269,15.04406291,-12.07258427
5.786255029,-10.33246501,5.830736201,14.30443982,-11.19214012
6.585679915,-10.62860056,4.311204862,15.13662093,-10.98068891
4.457426883,-6.481357513,3.313977435,12.56292239,-10.42196313
3.918576407,-6.43068599,4.536353699,12.16417777,-10.70792774
3.837001182,-9.690750759,7.951778508,12.19642097,-10.1300534
